ID,Category,Status,Latitude,Longitude,category_encoded,status_encoded,density_score,category_frequency,is_pending,priority_label,cluster_id
35,Pothole,Pending,23.261545089824203,77.41560471410419,1,2,0.1297889745434834,422,1,1,0
36,Pothole,Pending,23.257458312700056,77.41274818956084,1,2,0.258958598424978,422,1,2,0
37,Pothole,Pending,23.260317727190007,77.41585723109114,1,2,0.2042594381299536,422,1,1,0
38,Waste,Completed,23.25598065975224,77.40983979708356,3,1,0.059898824255232,478,0,0,0
39,Waste,Pending,23.2572436279022,77.4091932351213,3,2,0.0879856434070879,478,1,1,0
40,Pothole,Completed,23.260293722471737,77.4124889046022,1,1,0.5157796605916112,422,0,1,0
41,Drainage,Pending,23.26137693315999,77.41336813089788,0,2,0.3835455836345657,223,1,2,0
42,Drainage,Completed,23.26024273656238,77.41253461050381,0,1,0.5674258984539045,223,0,1,0
43,Waste,Completed,23.25966870343522,77.40846511579991,3,1,0.0915939131698292,478,0,0,0
44,Pothole,Completed,23.25929779260882,77.41242175992097,1,1,0.2446263868804229,422,0,1,0
45,Waste,Completed,23.256942956019262,77.40999106099899,3,1,0.0828712144080716,478,0,0,0
46,Waste,Pending,23.25846031158321,77.41393934509766,3,2,0.3298989257818165,478,1,1,0
47,Streetlight,Pending,23.25897872245808,77.41333319649219,2,2,0.2480058837311663,319,1,1,0
48,Streetlight,Pending,23.26201424445244,77.41072024042734,2,2,0.2003449798206815,319,1,1,0
49,Waste,Pending,23.260587236579138,77.41157226616532,3,2,0.8887499333109018,478,1,1,0
50,Waste,Pending,23.25637391968927,77.41048157295621,3,2,0.0926408520033539,478,1,1,0
51,Waste,Pending,23.260548167938783,77.41247464180545,3,2,0.3734631403441306,478,1,1,0
52,Drainage,Pending,23.259129835439165,77.414510284641,0,2,0.2598298163012598,223,1,2,0
53,Water Supply,Cancelled,23.258546155999387,77.41062854790732,4,0,0.2168201056822994,158,0,1,0
54,Waste,Completed,23.26112335257768,77.41360809303103,3,1,0.2760332309250496,478,0,0,0
55,Waste,Completed,23.26196199904499,77.41153948476325,3,1,0.2475390200042471,478,0,0,0
56,Drainage,Completed,23.261762560238232,77.41101425433547,0,1,0.2630523951163273,223,0,0,0
57,Water Supply,Pending,23.25822156495355,77.41238593928009,4,2,0.2320822182454125,158,1,2,0
58,Pothole,Completed,23.259281575248295,77.41052951535517,1,1,0.1710359030715109,422,0,1,0
59,Waste,Pending,23.26056252686281,77.4114927013893,3,2,0.7362938917542727,478,1,2,0
60,Waste,Completed,23.261851090254243,77.41020424421482,3,1,0.2005149821940432,478,0,0,0
61,Streetlight,Pending,23.258941651524307,77.41652945026583,2,2,0.2281942758429691,319,1,1,0
62,Pothole,Cancelled,23.25952868204667,77.41267052710394,1,0,0.3075319056734457,422,0,1,0
63,Waste,Pending,23.257687330051983,77.41120054898401,3,2,0.197002151269601,478,1,1,0
64,Streetlight,Pending,23.25750758675184,77.41302795982146,2,2,0.289296093932917,319,1,1,0
65,Waste,Cancelled,23.261525051644785,77.41237534390062,3,0,0.3995001676365147,478,0,0,0
66,Drainage,Pending,23.26261248005714,77.41215806080093,0,2,0.1572211245905077,223,1,1,0
67,Pothole,Completed,23.259755979756836,77.41382833340009,1,1,0.279206908919013,422,0,1,0
68,Waste,Completed,23.261907065795786,77.4141150154201,3,1,0.1984329990259095,478,0,0,0
69,Streetlight,Completed,23.260623272050093,77.41153899770478,2,1,1.0,319,0,0,0
70,Pothole,Cancelled,23.25860976049079,77.4114483635187,1,0,0.2533013857496979,422,0,1,0
71,Water Supply,Cancelled,23.260622791211016,77.4120498966057,4,0,0.3773354365855391,158,0,1,0
72,Pothole,Pending,23.26297607313293,77.40799615767052,1,2,0.0512457805468054,422,1,1,0
73,Waste,Completed,23.25982834792178,77.4095696178756,3,1,0.2280948788358742,478,0,1,0
74,Streetlight,Completed,23.263029287311625,77.41533374853489,2,1,0.0733387698922762,319,0,0,0
75,Waste,Completed,23.25466050979182,77.415889935427,3,1,0.0328007226331963,478,0,0,0
76,Water Supply,Pending,23.26154380500875,77.41210192792089,4,2,0.2650219698239973,158,1,2,0
77,Pothole,Completed,23.26007409413647,77.4137531139261,1,1,0.3291506969128909,422,0,1,0
78,Pothole,Cancelled,23.259301985299068,77.41322250030909,1,0,0.2685271092161437,422,0,1,0
79,Waste,Cancelled,23.26008352155307,77.4187577616169,3,0,0.0365464778299774,478,0,0,0
80,Pothole,Completed,23.255924862170797,77.41483914982287,1,1,0.1098653853468116,422,0,0,0
81,Drainage,Pending,23.259460656224324,77.41234416481704,0,2,0.3042095047236123,223,1,2,0
82,Drainage,Pending,23.260614225143023,77.4106889191188,0,2,0.3937086326933066,223,1,2,0
83,Waste,Completed,23.26285578808948,77.40938710735948,3,1,0.0871588772913079,478,0,0,0
84,Waste,Completed,23.25886345956345,77.41300692727174,3,1,0.2901153391008121,478,0,0,0
85,Drainage,Pending,23.258283012794212,77.41108729850943,0,2,0.2339345361602738,223,1,2,0
86,Water Supply,Pending,23.258896485912828,77.4097554925808,4,2,0.2027785143466058,158,1,2,0
87,Waste,Pending,23.2617308042354,77.41130685423151,3,2,0.283381667116998,478,1,1,0
88,Pothole,Completed,23.260557502219317,77.41043690399277,1,1,0.3213199306441279,422,0,1,0
89,Pothole,Cancelled,23.258840479592465,77.41597428327015,1,0,0.440223853170212,422,0,1,0
90,Drainage,Completed,23.260926534866226,77.41436327951389,0,1,0.1812759855495333,223,0,1,0
91,Waste,Pending,23.260094155098695,77.41258405471737,3,2,0.3489928983900536,478,1,1,0
92,Waste,Pending,23.261837289981063,77.41555988827778,3,2,0.1592377494589358,478,1,1,0
93,Drainage,Pending,23.25849589381224,77.4127547366153,0,2,0.4485774703576625,223,1,2,0
94,Waste,Cancelled,23.259244675706803,77.41087743159734,3,0,0.2168485813531142,478,0,0,0
95,Pothole,Pending,23.259115783693733,77.41564624815453,1,2,0.2779295905637743,422,1,1,0
96,Pothole,Completed,23.256972970103735,77.41367782008737,1,1,0.3069937502252607,422,0,0,0
97,Pothole,Pending,23.26049224055413,77.41052550769135,1,2,0.3906405757052834,422,1,2,0
98,Pothole,Completed,23.26042211054436,77.41221932264384,1,1,0.3793599219282957,422,0,1,0
99,Pothole,Completed,23.259910226913284,77.41084876349323,1,1,0.405558059649341,422,0,0,0
100,Waste,Completed,23.259430825733247,77.40983440053807,3,1,0.3185985131880084,478,0,0,0
101,Streetlight,Pending,23.257069258515894,77.41445235509507,2,2,0.1324279907620735,319,1,2,0
102,Drainage,Pending,23.259058709354463,77.41641883328094,0,2,0.2591718950787314,223,1,1,0
103,Drainage,Pending,23.259214570966943,77.40980286485235,0,2,0.2987508119449534,223,1,2,0
104,Waste,Completed,23.258295445461556,77.41372593847338,3,1,0.4467037078905126,478,0,0,0
105,Waste,Pending,23.259577428576662,77.41129871486176,3,2,0.3921102253175619,478,1,1,0
106,Waste,Pending,23.26070810171363,77.41162574923247,3,2,0.67017165080845,478,1,1,0
107,Pothole,Completed,23.263672371802414,77.41141521215152,1,1,0.1222161254643736,422,0,0,0
108,Pothole,Completed,23.26024915562566,77.41087201846064,1,1,0.2704075322881752,422,0,1,0
109,Streetlight,Completed,23.260415100781444,77.41269704325589,2,1,0.529204203813655,319,0,0,0
110,Waste,Pending,23.259751108168462,77.41093809976718,3,2,0.3476984710656794,478,1,1,0
111,Waste,Pending,23.2560624575694,77.41314091365156,3,2,0.158836299942927,478,1,1,0
112,Pothole,Completed,23.2598469722491,77.4124995237811,1,1,0.3174174580976809,422,0,1,0
113,Streetlight,Completed,23.26002046041988,77.41212210390627,2,1,0.5184839083688247,319,0,0,0
114,Waste,Pending,23.26482648422497,77.41078487267592,3,2,0.0915774113527558,478,1,1,0
115,Streetlight,Completed,23.259515278070435,77.41144645733885,2,1,0.3762415671973794,319,0,0,0
116,Waste,Completed,23.260503094684665,77.41411078245164,3,1,0.5692525823840799,478,0,0,0
117,Drainage,Completed,23.259830576460587,77.41360183437524,0,1,0.3878964478266828,223,0,1,0
118,Drainage,Pending,23.25756264392476,77.4106448895104,0,2,0.1648892520948039,223,1,1,0
119,Waste,Pending,23.262185645629028,77.41279866461086,3,2,0.3021379426580548,478,1,1,0
120,Waste,Pending,23.261403866065372,77.41410277424674,3,2,0.185856919580723,478,1,1,0
121,Pothole,Pending,23.26148206389409,77.40926118943776,1,2,0.1788848285254302,422,1,1,0
122,Waste,Cancelled,23.258081225090407,77.41368672038476,3,0,0.3047581725619981,478,0,0,0
123,Streetlight,Completed,23.26270558862187,77.4112747524821,2,1,0.1052276619640472,319,0,0,0
124,Drainage,Completed,23.257096297874412,77.41374119733719,0,1,0.2735592629601371,223,0,0,0
125,Streetlight,Pending,23.2610737141876,77.41107348168691,2,2,0.3810032007035848,319,1,1,0
126,Drainage,Completed,23.264280911251618,77.40899023579867,0,1,0.0680086405886726,223,0,0,0
127,Pothole,Completed,23.25791892734974,77.40934491512424,1,1,0.1496342955980146,422,0,0,0
128,Waste,Pending,23.25876740454079,77.41269616989332,3,2,0.4624993222190032,478,1,1,0
129,Streetlight,Completed,23.260099302730172,77.41311944500345,2,1,0.5029092397792478,319,0,0,0
130,Pothole,Pending,23.258893048691768,77.41079136674979,1,2,0.2048473610289153,422,1,2,0
131,Streetlight,Completed,23.256798673137865,77.41387718491755,2,1,0.2149094817865773,319,0,0,0
132,Waste,Pending,23.26003712594961,77.40927695987546,3,2,0.1645280059531484,478,1,1,0
133,Waste,Pending,23.257775392572547,77.4124678404027,3,2,0.2301782718626636,478,1,1,0
134,Water Supply,Pending,23.26084718486127,77.41017796760048,4,2,0.2468720354606048,158,1,2,0
135,Waste,Pending,23.258061151531532,77.4112963277844,3,2,0.2827279373837937,478,1,1,0
136,Water Supply,Pending,23.26299986881003,77.41269479734262,4,2,0.234108557757677,158,1,2,0
137,Water Supply,Completed,23.258333493415325,77.41087917326944,4,1,0.2213218527201388,158,0,1,0
138,Drainage,Completed,23.259255876967583,77.41183088891154,0,1,0.2712041594215433,223,0,1,0
139,Streetlight,Pending,23.26152703443474,77.41461258561843,2,2,0.2764747811833126,319,1,1,0
140,Streetlight,Pending,23.257438271367132,77.41144621626096,2,2,0.1583641179349743,319,1,1,0
141,Drainage,Pending,23.260354919869208,77.41427138422412,0,2,0.3756973000197936,223,1,2,0
142,Waste,Completed,23.26251428550856,77.41034058629069,3,1,0.1772279506948593,478,0,0,0
143,Pothole,Pending,23.256685033530875,77.41365960835583,1,2,0.2137324246328304,422,1,1,0
144,Streetlight,Pending,23.260269267717064,77.41548313724131,2,2,0.2139720147070428,319,1,1,0
145,Pothole,Completed,23.260419765588495,77.40765671099975,1,1,0.0566495365273402,422,0,0,0
146,Pothole,Pending,23.261463645743554,77.41100620948906,1,2,0.2953117770758273,422,1,0,0
147,Pothole,Pending,23.257426098578243,77.41375414425436,1,2,0.2464231904341024,422,1,2,0
148,Streetlight,Completed,23.25725908677383,77.41219390922791,2,1,0.1937232553494553,319,0,0,0
149,Drainage,Completed,23.260943883131233,77.41334229174674,0,1,0.2623127010546305,223,0,1,0
150,Waste,Pending,23.260493969346463,77.41139202962657,3,2,0.4878824748448924,478,1,1,0
151,Water Supply,Completed,23.26040098570069,77.41277317957494,4,1,0.5171273570070842,158,0,1,0
152,Streetlight,Completed,23.26059289641899,77.41228864552922,2,1,0.4634159328914528,319,0,0,0
153,Drainage,Pending,23.25853995055684,77.41493556412331,0,2,0.2211790186905978,223,1,2,0
154,Streetlight,Pending,23.26036450739432,77.4131088416866,2,2,0.285380348347504,319,1,1,0
155,Drainage,Pending,23.260486144946597,77.41327520532415,0,2,0.2263082095103634,223,1,2,0
156,Waste,Pending,23.258471297163947,77.41177624606776,3,2,0.4399234691560532,478,1,1,0
157,Drainage,Completed,23.26363154902229,77.41162478755186,0,1,0.1490733410792142,223,0,0,0
158,Waste,Completed,23.260847665841823,77.41173488362436,3,1,0.5167957817453425,478,0,0,0
159,Drainage,Cancelled,23.257517393005593,77.41338890428476,0,0,0.3685491568474699,223,0,1,0
160,Water Supply,Completed,23.261213107217262,77.41175803103836,4,1,0.2642814101867607,158,0,1,0
161,Waste,Pending,23.257950636659544,77.41317954971379,3,2,0.2487190433896804,478,1,1,0
162,Waste,Pending,23.26147416920748,77.41675080159729,3,2,0.1001129408232544,478,1,1,0
163,Drainage,Completed,23.262217191158012,77.41434224940686,0,1,0.2054561931147186,223,0,0,0
164,Waste,Pending,23.258258635363298,77.41194795293566,3,2,0.5471430714616349,478,1,1,0
165,Drainage,Completed,23.26182675225849,77.41500242784433,0,1,0.226724836184538,223,0,0,0
166,Waste,Completed,23.26072556185387,77.41178384925395,3,1,0.4765022072912907,478,0,0,0
167,Waste,Completed,23.261544120319986,77.40852375092965,3,1,0.1195806304818657,478,0,0,0
168,Water Supply,Completed,23.263693585965303,77.41058382737816,4,1,0.1256694862430261,158,0,1,0
169,Streetlight,Pending,23.259409223767992,77.40885841615794,2,2,0.1311555151992465,319,1,1,0
170,Drainage,Completed,23.258392527671283,77.41189697303192,0,1,0.5959306652840203,223,0,1,0
171,Pothole,Completed,23.258120971140748,77.41263683675838,1,1,0.2415215471895,422,0,1,0
172,Streetlight,Pending,23.258268379430067,77.41595287462455,2,2,0.1783874804624314,319,1,0,0
173,Streetlight,Completed,23.25974579658117,77.41325385474752,2,1,0.2492781105511233,319,0,0,0
174,Streetlight,Pending,23.260582303949633,77.41216179894238,2,2,0.446202629136693,319,1,1,0
175,Streetlight,Cancelled,23.26045338159866,77.41425881116237,2,0,0.5118391244991979,319,0,1,0
176,Streetlight,Pending,23.26155436649807,77.40817772938198,2,2,0.0914946409462784,319,1,1,0
177,Pothole,Completed,23.25992600378375,77.41307122911621,1,1,0.4857281728046727,422,0,1,0
178,Waste,Pending,23.262807068154313,77.41414173038777,3,2,0.1534707368012046,478,1,1,0
179,Drainage,Completed,23.25937068633352,77.40964282750843,0,1,0.2867061716460373,223,0,0,0
180,Waste,Pending,23.26534033833318,77.41488750808641,3,2,0.0317106085994751,478,1,0,0
181,Streetlight,Pending,23.26115133469553,77.41327699281499,2,2,0.2920042197359235,319,1,1,0
182,Waste,Pending,23.258185684887167,77.41176942417219,3,2,0.3556590904380365,478,1,1,0
183,Streetlight,Cancelled,23.257758215003875,77.41386556373222,2,0,0.227409257464782,319,0,0,0
184,Streetlight,Pending,23.260864944830484,77.41714138571561,2,2,0.0665294730304441,319,1,1,0
185,Waste,Pending,23.259453074429345,77.41296373251012,3,2,0.4572424360368333,478,1,1,0
186,Waste,Completed,23.261328000988183,77.4130964411726,3,1,0.2951691958111896,478,0,0,0
187,Waste,Pending,23.260846475249146,77.41168127820092,3,2,0.5476961104475394,478,1,1,0
188,Streetlight,Cancelled,23.259754342174684,77.41090031126107,2,0,0.3746891363637577,319,0,1,0
189,Drainage,Pending,23.25820641256386,77.41426067163309,0,2,0.1904530191048467,223,1,2,0
190,Waste,Completed,23.256870305550628,77.41088783234818,3,1,0.1201949791402715,478,0,0,0
191,Streetlight,Pending,23.259006970095864,77.41274313247443,2,2,0.6809058675214598,319,1,1,0
192,Pothole,Pending,23.261612797588644,77.41164468510647,1,2,0.2357126539627008,422,1,2,0
193,Pothole,Completed,23.26032818748826,77.41355795965148,1,1,0.237983745458742,422,0,1,0
194,Water Supply,Completed,23.257408522442574,77.41326732421057,4,1,0.3658082355232164,158,0,1,0
195,Pothole,Completed,23.2602463618517,77.41467507988851,1,1,0.3582221388083059,422,0,1,0
196,Pothole,Pending,23.260670634759457,77.41157996720229,1,2,0.8985538521157449,422,1,2,0
197,Waste,Pending,23.25813228512759,77.41206025012941,3,2,0.3066220776281336,478,1,1,0
198,Waste,Pending,23.26020745021189,77.41064247256843,3,2,0.3056959901764859,478,1,1,0
199,Waste,Cancelled,23.26001641743689,77.41171141347985,3,0,0.2451195412772957,478,0,1,0
200,Waste,Pending,23.257614059404336,77.41335460098608,3,2,0.3178019478266303,478,1,1,0
201,Streetlight,Pending,23.260615574720696,77.41411397723328,2,2,0.5421489647277411,319,1,1,0
202,Pothole,Pending,23.261021569052733,77.41075566935164,1,2,0.233060837969146,422,1,2,0
203,Pothole,Completed,23.262066102486347,77.41433921184021,1,1,0.268750688787032,422,0,0,0
204,Waste,Pending,23.262007604104067,77.41531127571761,3,2,0.171752697322258,478,1,1,0
205,Waste,Cancelled,23.25714466126409,77.41342686980644,3,0,0.2455387821759355,478,0,0,0
206,Streetlight,Pending,23.258024349920166,77.41635359162511,2,2,0.1377923184299691,319,1,2,0
207,Water Supply,Completed,23.260930070534418,77.4110524216018,4,1,0.3898863847436049,158,0,1,0
208,Waste,Pending,23.260927571901824,77.41011069059337,3,2,0.24786145065062,478,1,1,0
209,Drainage,Completed,23.26093009537261,77.40904255950218,0,1,0.1982137150566849,223,0,0,0
210,Streetlight,Cancelled,23.267605462981308,77.41559208862297,2,0,0.0183779243165838,319,0,0,-1
211,Streetlight,Pending,23.261041781021383,77.4139087313127,2,2,0.2267833025432369,319,1,1,0
212,Pothole,Cancelled,23.26217113128036,77.41248883065818,1,0,0.3706818205761104,422,0,1,0
213,Waste,Pending,23.261808003526983,77.41315993725264,3,2,0.2255803300665738,478,1,1,0
214,Waste,Cancelled,23.26120278250261,77.4103490219054,3,0,0.2476222155664935,478,0,0,0
215,Streetlight,Completed,23.25926946151072,77.41749150395923,2,1,0.0736433541774527,319,0,0,0
216,Pothole,Pending,23.261417938440985,77.41285844236396,1,2,0.2563618853347045,422,1,2,0
217,Water Supply,Pending,23.25835434957092,77.41281878958921,4,2,0.3843374316196119,158,1,2,0
218,Pothole,Pending,23.259426362786517,77.4140515332478,1,2,0.1898524930125916,422,1,2,0
219,Waste,Pending,23.25892927290434,77.41356201846347,3,2,0.3532847503388934,478,1,1,0
220,Streetlight,Pending,23.26006374827877,77.41304776804856,2,2,0.5264972468231651,319,1,1,0
221,Waste,Pending,23.264529317133345,77.41101905108911,3,2,0.1022726872480516,478,1,1,0
222,Pothole,Completed,23.256165469614817,77.41354293671426,1,1,0.1602322714524029,422,0,0,0
223,Streetlight,Completed,23.261272520380743,77.41636404899295,2,1,0.1046801778328809,319,0,0,0
224,Water Supply,Pending,23.25667456825762,77.41529084009231,4,2,0.1024619934301555,158,1,2,0
225,Drainage,Pending,23.25895613626842,77.41578637325328,0,2,0.3354150788931117,223,1,1,0
226,Streetlight,Completed,23.262077901193933,77.41157756864713,2,1,0.2157087301944031,319,0,0,0
227,Streetlight,Pending,23.26002856003819,77.41062079035947,2,2,0.3200878835090516,319,1,1,0
228,Water Supply,Pending,23.25774451044414,77.4123484261598,4,2,0.2453920070601584,158,1,2,0
229,Waste,Pending,23.25846939258148,77.41271144982457,3,2,0.497020756052823,478,1,1,0
230,Waste,Cancelled,23.261259195497868,77.41478838303694,3,0,0.2248556756636227,478,0,0,0
231,Waste,Completed,23.258439266736563,77.40921507074057,3,1,0.2977349608602204,478,0,0,0
232,Waste,Pending,23.260332917179163,77.41565910063892,3,2,0.2430885613275045,478,1,1,0
233,Streetlight,Completed,23.259991143679805,77.41228398420284,2,1,0.3555651681356082,319,0,0,0
234,Streetlight,Completed,23.258596799304787,77.4117462378601,2,1,0.3294601401334217,319,0,0,0
235,Streetlight,Completed,23.26418788817865,77.41057579124947,2,1,0.1373411702583097,319,0,0,0
236,Waste,Completed,23.261167838044635,77.40929028665627,3,1,0.278753919638769,478,0,0,0
237,Streetlight,Completed,23.255849714826685,77.41424634116792,2,1,0.1144801109681624,319,0,0,0
238,Pothole,Pending,23.26027290862954,77.41274663593437,1,2,0.4248745597048716,422,1,1,0
239,Streetlight,Pending,23.258576427070462,77.41002007820052,2,2,0.2651043756733592,319,1,1,0
240,Streetlight,Completed,23.26160486666959,77.41000984245586,2,1,0.1699510963863961,319,0,0,0
241,Pothole,Completed,23.258314958523133,77.41192843060142,1,1,0.5576287215603074,422,0,1,0
242,Waste,Pending,23.259670527117063,77.41593804305057,3,2,0.2201653942193538,478,1,1,0
243,Waste,Completed,23.26090997455796,77.41208081729727,3,1,0.2529881227814264,478,0,0,0
244,Drainage,Cancelled,23.261631510388337,77.40959371409376,0,0,0.1581709932289242,223,0,1,0
245,Water Supply,Pending,23.25749940718589,77.41210851387183,4,2,0.2582603774716242,158,1,1,0
246,Streetlight,Completed,23.259230997528316,77.4120545528605,2,1,0.2380285392904025,319,0,0,0
247,Waste,Completed,23.258950109377675,77.40720622671411,3,1,0.0555834174161011,478,0,0,0
248,Pothole,Cancelled,23.25859334153485,77.41249141026697,1,0,0.3307256695955489,422,0,1,0
249,Streetlight,Cancelled,23.26343090848056,77.41213813093958,2,0,0.1328626158464921,319,0,0,0
250,Drainage,Completed,23.26070996342192,77.41399241272963,0,1,0.4522542674361233,223,0,1,0
251,Waste,Pending,23.257378232091327,77.41629791218989,3,2,0.0904839388156415,478,1,1,0
252,Waste,Completed,23.26173572389411,77.41485313005909,3,1,0.2941564310570371,478,0,0,0
253,Streetlight,Pending,23.264144312394023,77.41206222261889,2,2,0.1114487949509643,319,1,1,0
254,Pothole,Completed,23.2619649305211,77.41038694818252,1,1,0.2355449634030671,422,0,0,0
255,Waste,Cancelled,23.25686126006809,77.4177467196065,3,0,0.0518878906214745,478,0,0,0
256,Waste,Pending,23.258931531854262,77.41271843686803,3,2,0.9257614522930128,478,1,1,0
257,Pothole,Completed,23.262433822298373,77.41262785858382,1,1,0.4339105526883105,422,0,1,0
258,Drainage,Pending,23.25848466106876,77.41255174982578,0,2,0.3916669415394844,223,1,2,0
259,Water Supply,Completed,23.26078763885629,77.41299616952153,4,1,0.254220016817012,158,0,1,0
260,Streetlight,Pending,23.26144926810686,77.41231127917615,2,2,0.4783422851000612,319,1,1,0
261,Pothole,Completed,23.25804613905684,77.41145267598624,1,1,0.3301141054900648,422,0,1,0
262,Waste,Cancelled,23.259780949287876,77.41150628211751,3,0,0.2866583097933896,478,0,1,0
263,Pothole,Cancelled,23.25341746531986,77.41253449345956,1,0,0.0310903666000521,422,0,0,1
264,Pothole,Pending,23.257851224717328,77.41151315045774,1,2,0.2424265619393565,422,1,2,0
265,Streetlight,Completed,23.259394863697217,77.41117430843464,2,1,0.2674490744805127,319,0,0,0
266,Pothole,Completed,23.25740443363607,77.41281286045538,1,1,0.299117001697041,422,0,1,0
267,Waste,Pending,23.263164822607862,77.41209004556515,3,2,0.1480631223992443,478,1,1,0
268,Waste,Pending,23.257039717244076,77.41560798597716,3,2,0.090161124179274,478,1,1,0
269,Pothole,Pending,23.25901991102661,77.40729806038321,1,2,0.0601553435874979,422,1,1,0
270,Waste,Cancelled,23.26016148115457,77.41478301370384,3,0,0.4174919820697639,478,0,0,0
271,Waste,Completed,23.26278254657813,77.415092170385,3,1,0.0940013335675903,478,0,0,0
272,Water Supply,Completed,23.25702827569764,77.40845321953518,4,1,0.0546830045415346,158,0,1,0
273,Pothole,Pending,23.262226327504308,77.41191462481184,1,2,0.1664392860006673,422,1,2,0
274,Pothole,Completed,23.259920466122036,77.411857118268,1,1,0.3266556684861624,422,0,1,0
275,Drainage,Pending,23.257936982697903,77.40978497661057,0,2,0.1475638715359289,223,1,1,0
276,Water Supply,Pending,23.260824206948524,77.41104436662482,4,2,0.3020724249970289,158,1,2,0
277,Streetlight,Completed,23.260298119391145,77.41037884830907,2,1,0.2677200039071616,319,0,0,0
278,Drainage,Pending,23.25869956624568,77.41610454088685,0,2,0.3731005801129801,223,1,1,0
279,Pothole,Completed,23.26003960416998,77.4144713567863,1,1,0.2319755599492112,422,0,1,0
280,Pothole,Pending,23.25912937280627,77.41514311018999,1,2,0.1675833162095751,422,1,2,0
281,Pothole,Completed,23.260127034690505,77.41404334412809,1,1,0.296871648694231,422,0,1,0
282,Streetlight,Completed,23.26122426134904,77.41034189645757,2,1,0.2386866356685547,319,0,0,0
283,Streetlight,Completed,23.263072033632287,77.41155095946743,2,1,0.1346922223146703,319,0,0,0
284,Pothole,Pending,23.257424369002344,77.41357874912245,1,2,0.3081910458009319,422,1,2,0
285,Waste,Pending,23.26416606674931,77.41015574438221,3,2,0.112426489687135,478,1,1,0
286,Streetlight,Cancelled,23.25599582440095,77.41402599686035,2,0,0.1271501117723049,319,0,2,0
287,Waste,Pending,23.25959642980993,77.41211934920368,3,2,0.2575469351056939,478,1,1,0
288,Streetlight,Completed,23.26107663441297,77.4118503583849,2,1,0.308535741578238,319,0,0,0
289,Streetlight,Cancelled,23.260461983735468,77.4140219199364,2,0,0.4340013838207005,319,0,1,0
