ID,Category,Status,category_encoded,status_encoded,density_score,category_frequency,is_pending,Latitude,Longitude,priority_label
40,Pothole,Completed,1,1,0.5157796605912836,422,0,23.260293722471737,77.4124889046022,1
41,Drainage,Pending,0,2,0.38354558363432206,223,1,23.26137693315999,77.41336813089788,2
42,Drainage,Completed,0,1,0.567425898453544,223,0,23.26024273656238,77.41253461050381,1
43,Waste,Completed,3,1,0.09159391316977106,478,0,23.25966870343522,77.40846511579991,0
44,Pothole,Completed,1,1,0.24462638688026753,422,0,23.25929779260882,77.41242175992097,1
45,Waste,Completed,3,1,0.08287121440801899,478,0,23.256942956019262,77.40999106099899,0
46,Waste,Pending,3,2,0.329898925781607,478,1,23.25846031158321,77.41393934509766,1
47,Streetlight,Pending,2,2,0.24800588373100876,319,1,23.25897872245808,77.41333319649219,1
48,Streetlight,Pending,2,2,0.20034497982055424,319,1,23.26201424445244,77.41072024042734,1
49,Waste,Pending,3,2,0.8887499333103372,478,1,23.260587236579138,77.41157226616532,1
50,Waste,Pending,3,2,0.09264085200329505,478,1,23.25637391968927,77.41048157295621,1
51,Waste,Pending,3,2,0.3734631403438934,478,1,23.260548167938783,77.41247464180545,1
52,Drainage,Pending,0,2,0.25982981630109475,223,1,23.259129835439165,77.414510284641,2
53,Water Supply,Cancelled,4,0,0.21682010568216167,158,0,23.258546155999387,77.41062854790732,1
54,Waste,Completed,3,1,0.27603323092487425,478,0,23.26112335257768,77.41360809303103,0
55,Waste,Completed,3,1,0.24753902000408992,478,0,23.26196199904499,77.41153948476325,0
56,Drainage,Completed,0,1,0.26305239511616013,223,0,23.261762560238232,77.41101425433547,0
57,Water Supply,Pending,4,2,0.23208221824526512,158,1,23.25822156495355,77.41238593928009,2
58,Pothole,Completed,1,1,0.17103590307140223,422,0,23.259281575248295,77.41052951535517,1
59,Waste,Pending,3,2,0.736293891753805,478,1,23.26056252686281,77.4114927013893,1
60,Waste,Completed,3,1,0.2005149821939159,478,0,23.261851090254243,77.41020424421482,0
61,Streetlight,Pending,2,2,0.22819427584282417,319,1,23.258941651524307,77.41652945026583,1
62,Pothole,Cancelled,1,0,0.30753190567325034,422,0,23.25952868204667,77.41267052710394,1
63,Waste,Pending,3,2,0.19700215126947584,478,1,23.257687330051983,77.41120054898401,1
64,Streetlight,Pending,2,2,0.2892960939327332,319,1,23.25750758675184,77.41302795982146,1
65,Waste,Cancelled,3,0,0.39950016763626095,478,0,23.261525051644785,77.41237534390062,0
66,Drainage,Pending,0,2,0.15722112459040782,223,1,23.26261248005714,77.41215806080093,1
67,Pothole,Completed,1,1,0.2792069089188357,422,0,23.259755979756836,77.41382833340009,1
68,Waste,Completed,3,1,0.1984329990257835,478,0,23.261907065795786,77.4141150154201,0
69,Streetlight,Completed,2,1,0.9999999999993647,319,0,23.260623272050093,77.41153899770478,0
70,Pothole,Cancelled,1,0,0.253301385749537,422,0,23.25860976049079,77.4114483635187,1
71,Water Supply,Cancelled,4,0,0.3773354365852994,158,0,23.260622791211016,77.4120498966057,1
72,Pothole,Pending,1,2,0.05124578054677292,422,1,23.26297607313293,77.40799615767052,1
73,Waste,Completed,3,1,0.22809487883572932,478,0,23.25982834792178,77.4095696178756,0
74,Streetlight,Completed,2,1,0.07333876989222964,319,0,23.263029287311625,77.41533374853489,0
75,Waste,Completed,3,1,0.0328007226331755,478,0,23.25466050979182,77.415889935427,0
76,Water Supply,Pending,4,2,0.2650219698238289,158,1,23.26154380500875,77.41210192792089,2
77,Pothole,Completed,1,1,0.32915069691268184,422,0,23.26007409413647,77.4137531139261,1
78,Pothole,Cancelled,1,0,0.26852710921597317,422,0,23.259301985299068,77.41322250030909,1
79,Waste,Cancelled,3,0,0.03654647782995419,478,0,23.26008352155307,77.4187577616169,0
80,Pothole,Completed,1,1,0.10986538534674184,422,0,23.255924862170797,77.41483914982287,0
81,Drainage,Pending,0,2,0.3042095047234191,223,1,23.259460656224324,77.41234416481704,2
82,Drainage,Pending,0,2,0.39370863269305645,223,1,23.260614225143023,77.4106889191188,2
83,Waste,Completed,3,1,0.08715887729125253,478,0,23.26285578808948,77.40938710735948,0
84,Waste,Completed,3,1,0.2901153391006278,478,0,23.25886345956345,77.41300692727174,0
85,Drainage,Pending,0,2,0.23393453616012524,223,1,23.258283012794212,77.41108729850943,2
86,Water Supply,Pending,4,2,0.20277851434647703,158,1,23.258896485912828,77.4097554925808,2
87,Waste,Pending,3,2,0.283381667116818,478,1,23.2617308042354,77.41130685423151,1
88,Pothole,Completed,1,1,0.32131993064392383,422,0,23.260557502219317,77.41043690399277,1
89,Pothole,Cancelled,1,0,0.44022385316993234,422,0,23.258840479592465,77.41597428327015,1
90,Drainage,Completed,0,1,0.1812759855494182,223,0,23.260926534866226,77.41436327951389,1
91,Waste,Pending,3,2,0.3489928983898319,478,1,23.260094155098695,77.41258405471737,1
92,Waste,Pending,3,2,0.15923774945883473,478,1,23.261837289981063,77.41555988827778,1
93,Drainage,Pending,0,2,0.44857747035737755,223,1,23.25849589381224,77.4127547366153,2
94,Waste,Cancelled,3,0,0.21684858135297652,478,0,23.259244675706803,77.41087743159734,0
95,Pothole,Pending,1,2,0.27792959056359773,422,1,23.259115783693733,77.41564624815453,1
96,Pothole,Completed,1,1,0.30699375022506575,422,0,23.256972970103735,77.41367782008737,0
97,Pothole,Pending,1,2,0.39064057570503524,422,1,23.26049224055413,77.41052550769135,2
98,Pothole,Completed,1,1,0.37935992192805473,422,0,23.26042211054436,77.41221932264384,1
99,Pothole,Completed,1,1,0.40555805964908337,422,0,23.259910226913284,77.41084876349323,1
100,Waste,Completed,3,1,0.318598513187806,478,0,23.259430825733247,77.40983440053807,0
101,Streetlight,Pending,2,2,0.13242799076198938,319,1,23.257069258515894,77.41445235509507,1
102,Drainage,Pending,0,2,0.25917189507856675,223,1,23.259058709354463,77.41641883328094,1
103,Drainage,Pending,0,2,0.29875081194476366,223,1,23.259214570966943,77.40980286485235,2
104,Waste,Completed,3,1,0.4467037078902289,478,0,23.258295445461556,77.41372593847338,0
105,Waste,Pending,3,2,0.3921102253173129,478,1,23.259577428576662,77.41129871486176,1
106,Waste,Pending,3,2,0.6701716508080242,478,1,23.26070810171363,77.41162574923247,1
107,Pothole,Completed,1,1,0.122216125464296,422,0,23.263672371802414,77.41141521215152,0
108,Pothole,Completed,1,1,0.2704075322880034,422,0,23.26024915562566,77.41087201846064,1
109,Streetlight,Completed,2,1,0.5292042038133188,319,0,23.260415100781444,77.41269704325589,0
110,Waste,Pending,3,2,0.34769847106545854,478,1,23.259751108168462,77.41093809976718,1
111,Waste,Pending,3,2,0.1588362999428262,478,1,23.2560624575694,77.41314091365156,1
112,Pothole,Completed,1,1,0.31741745809747934,422,0,23.2598469722491,77.4124995237811,1
113,Streetlight,Completed,2,1,0.5184839083684953,319,0,23.26002046041988,77.41212210390627,0
114,Waste,Pending,3,2,0.09157741135269765,478,1,23.26482648422497,77.41078487267592,1
115,Streetlight,Completed,2,1,0.3762415671971404,319,0,23.259515278070435,77.41144645733885,0
116,Waste,Completed,3,1,0.5692525823837183,478,0,23.260503094684665,77.41411078245164,0
117,Drainage,Completed,0,1,0.38789644782643645,223,0,23.259830576460587,77.41360183437524,1
118,Drainage,Pending,0,2,0.16488925209469918,223,1,23.25756264392476,77.4106448895104,1
119,Waste,Pending,3,2,0.3021379426578629,478,1,23.262185645629028,77.41279866461086,1
120,Waste,Pending,3,2,0.18585691958060496,478,1,23.261403866065372,77.41410277424674,1
121,Pothole,Pending,1,2,0.17888482852531665,422,1,23.26148206389409,77.40926118943776,1
122,Waste,Cancelled,3,0,0.30475817256180454,478,0,23.258081225090407,77.41368672038476,0
123,Streetlight,Completed,2,1,0.10522766196398037,319,0,23.26270558862187,77.4112747524821,0
124,Drainage,Completed,0,1,0.2735592629599633,223,0,23.257096297874412,77.41374119733719,0
125,Streetlight,Pending,2,2,0.3810032007033428,319,1,23.2610737141876,77.41107348168691,1
126,Drainage,Completed,0,1,0.06800864058862946,223,0,23.264280911251618,77.40899023579867,0
127,Pothole,Completed,1,1,0.14963429559791958,422,0,23.25791892734974,77.40934491512424,0
128,Waste,Pending,3,2,0.46249932221870943,478,1,23.25876740454079,77.41269616989332,1
129,Streetlight,Completed,2,1,0.5029092397789283,319,0,23.260099302730172,77.41311944500345,0
130,Pothole,Pending,1,2,0.20484736102878526,422,1,23.258893048691768,77.41079136674979,2
131,Streetlight,Completed,2,1,0.2149094817864408,319,0,23.256798673137865,77.41387718491755,0
132,Waste,Pending,3,2,0.1645280059530439,478,1,23.26003712594961,77.40927695987546,1
133,Waste,Pending,3,2,0.23017827186251744,478,1,23.257775392572547,77.4124678404027,1
134,Water Supply,Pending,4,2,0.24687203546044795,158,1,23.26084718486127,77.41017796760048,2
135,Waste,Pending,3,2,0.28272793738361407,478,1,23.258061151531532,77.4112963277844,1
136,Water Supply,Pending,4,2,0.23410855775752829,158,1,23.26299986881003,77.41269479734262,2
137,Water Supply,Completed,4,1,0.22132185271999819,158,0,23.258333493415325,77.41087917326944,1
138,Drainage,Completed,0,1,0.2712041594213711,223,0,23.259255876967583,77.41183088891154,1
139,Streetlight,Pending,2,2,0.276474781183137,319,1,23.26152703443474,77.41461258561843,1
140,Streetlight,Pending,2,2,0.1583641179348737,319,1,23.257438271367132,77.41144621626096,1
141,Drainage,Pending,0,2,0.375697300019555,223,1,23.260354919869208,77.41427138422412,2
142,Waste,Completed,3,1,0.17722795069474676,478,0,23.26251428550856,77.41034058629069,0
143,Pothole,Pending,1,2,0.21373242463269462,422,1,23.256685033530875,77.41365960835583,1
144,Streetlight,Pending,2,2,0.2139720147069069,319,1,23.260269267717064,77.41548313724131,1
145,Pothole,Completed,1,1,0.056649536527304256,422,0,23.260419765588495,77.40765671099975,0
146,Pothole,Pending,1,2,0.29531177707563966,422,1,23.261463645743554,77.41100620948906,2
147,Pothole,Pending,1,2,0.2464231904339459,422,1,23.257426098578243,77.41375414425436,2
148,Streetlight,Completed,2,1,0.19372325534933227,319,0,23.25725908677383,77.41219390922791,0
149,Drainage,Completed,0,1,0.26231270105446386,223,0,23.260943883131233,77.41334229174674,1
150,Waste,Pending,3,2,0.4878824748445825,478,1,23.260493969346463,77.41139202962657,1
151,Water Supply,Completed,4,1,0.5171273570067557,158,0,23.26040098570069,77.41277317957494,1
152,Streetlight,Completed,2,1,0.4634159328911584,319,0,23.26059289641899,77.41228864552922,0
153,Drainage,Pending,0,2,0.2211790186904573,223,1,23.25853995055684,77.41493556412331,2
154,Streetlight,Pending,2,2,0.2853803483473227,319,1,23.26036450739432,77.4131088416866,1
155,Drainage,Pending,0,2,0.22630820951021965,223,1,23.260486144946597,77.41327520532415,2
156,Waste,Pending,3,2,0.4399234691557738,478,1,23.258471297163947,77.41177624606776,1
157,Drainage,Completed,0,1,0.1490733410791195,223,0,23.26363154902229,77.41162478755186,0
158,Waste,Completed,3,1,0.5167957817450142,478,0,23.260847665841823,77.41173488362436,0
159,Drainage,Cancelled,0,0,0.36854915684723577,223,0,23.257517393005593,77.41338890428476,1
160,Water Supply,Completed,4,1,0.2642814101865928,158,0,23.261213107217262,77.41175803103836,1
161,Waste,Pending,3,2,0.24871904338952247,478,1,23.257950636659544,77.41317954971379,1
162,Waste,Pending,3,2,0.10011294082319086,478,1,23.26147416920748,77.41675080159729,1
163,Drainage,Completed,0,1,0.20545619311458807,223,0,23.262217191158012,77.41434224940686,0
164,Waste,Pending,3,2,0.5471430714612874,478,1,23.258258635363298,77.41194795293566,1
165,Drainage,Completed,0,1,0.22672483618439399,223,0,23.26182675225849,77.41500242784433,0
166,Waste,Completed,3,1,0.476502207290988,478,0,23.26072556185387,77.41178384925395,0
167,Waste,Completed,3,1,0.11958063048178978,478,0,23.261544120319986,77.40852375092965,0
168,Water Supply,Completed,4,1,0.12566948624294627,158,0,23.263693585965303,77.41058382737816,1
169,Streetlight,Pending,2,2,0.13115551519916321,319,1,23.259409223767992,77.40885841615794,1
170,Drainage,Completed,0,1,0.5959306652836417,223,0,23.258392527671283,77.41189697303192,1
171,Pothole,Completed,1,1,0.24152154718934665,422,0,23.258120971140748,77.41263683675838,1
172,Streetlight,Pending,2,2,0.1783874804623181,319,1,23.258268379430067,77.41595287462455,1
173,Streetlight,Completed,2,1,0.24927811055096497,319,0,23.25974579658117,77.41325385474752,0
174,Streetlight,Pending,2,2,0.4462026291364096,319,1,23.260582303949633,77.41216179894238,1
175,Streetlight,Cancelled,2,0,0.5118391244988727,319,0,23.26045338159866,77.41425881116237,1
176,Streetlight,Pending,2,2,0.09149464094622034,319,1,23.26155436649807,77.40817772938198,1
177,Pothole,Completed,1,1,0.48572817280436414,422,0,23.25992600378375,77.41307122911621,1
178,Waste,Pending,3,2,0.15347073680110712,478,1,23.262807068154313,77.41414173038777,1
179,Drainage,Completed,0,1,0.2867061716458552,223,0,23.25937068633352,77.40964282750843,0
180,Waste,Pending,3,2,0.031710608599455035,478,1,23.26534033833318,77.41488750808641,0
181,Streetlight,Pending,2,2,0.292004219735738,319,1,23.26115133469553,77.41327699281499,1
182,Waste,Pending,3,2,0.35565909043781063,478,1,23.258185684887167,77.41176942417219,1
183,Streetlight,Cancelled,2,0,0.2274092574646376,319,0,23.257758215003875,77.41386556373222,0
184,Streetlight,Pending,2,2,0.0665294730304019,319,1,23.260864944830484,77.41714138571561,1
185,Waste,Pending,3,2,0.45724243603654285,478,1,23.259453074429345,77.41296373251012,1
186,Waste,Completed,3,1,0.29516919581100215,478,0,23.261328000988183,77.4130964411726,0
187,Waste,Pending,3,2,0.5476961104471915,478,1,23.260846475249146,77.41168127820092,1
188,Streetlight,Cancelled,2,0,0.3746891363635197,319,0,23.259754342174684,77.41090031126107,1
189,Drainage,Pending,0,2,0.1904530191047257,223,1,23.25820641256386,77.41426067163309,2
190,Waste,Completed,3,1,0.12019497914019522,478,0,23.256870305550628,77.41088783234818,0
191,Streetlight,Pending,2,2,0.6809058675210272,319,1,23.259006970095864,77.41274313247443,1
192,Pothole,Pending,1,2,0.23571265396255114,422,1,23.261612797588644,77.41164468510647,2
193,Pothole,Completed,1,1,0.23798374545859086,422,0,23.26032818748826,77.41355795965148,1
194,Water Supply,Completed,4,1,0.365808235522984,158,0,23.257408522442574,77.41326732421057,1
195,Pothole,Completed,1,1,0.3582221388080784,422,0,23.2602463618517,77.41467507988851,1
196,Pothole,Pending,1,2,0.898553852115174,422,1,23.260670634759457,77.41157996720229,2
197,Waste,Pending,3,2,0.30662207762793886,478,1,23.25813228512759,77.41206025012941,1
198,Waste,Pending,3,2,0.3056959901762918,478,1,23.26020745021189,77.41064247256843,1
199,Waste,Cancelled,3,0,0.24511954127714,478,0,23.26001641743689,77.41171141347985,1
200,Waste,Pending,3,2,0.31780194782642845,478,1,23.257614059404336,77.41335460098608,1
201,Streetlight,Pending,2,2,0.5421489647273966,319,1,23.260615574720696,77.41411397723328,1
202,Pothole,Pending,1,2,0.23306083796899799,422,1,23.261021569052733,77.41075566935164,2
203,Pothole,Completed,1,1,0.2687506887868613,422,0,23.262066102486347,77.41433921184021,0
204,Waste,Pending,3,2,0.17175269732214893,478,1,23.262007604104067,77.41531127571761,1
205,Waste,Cancelled,3,0,0.24553878217577954,478,0,23.25714466126409,77.41342686980644,0
206,Streetlight,Pending,2,2,0.13779231842988163,319,1,23.258024349920166,77.41635359162511,1
207,Water Supply,Completed,4,1,0.38988638474335724,158,0,23.260930070534418,77.4110524216018,1
208,Waste,Pending,3,2,0.2478614506504626,478,1,23.260927571901824,77.41011069059337,1
209,Drainage,Completed,0,1,0.198213715056559,223,0,23.26093009537261,77.40904255950218,0
210,Streetlight,Cancelled,2,0,0.018377924316572168,319,0,23.267605462981308,77.41559208862297,0
211,Streetlight,Pending,2,2,0.2267833025430928,319,1,23.261041781021383,77.4139087313127,1
212,Pothole,Cancelled,1,0,0.37068182057587495,422,0,23.26217113128036,77.41248883065818,1
213,Waste,Pending,3,2,0.2255803300664305,478,1,23.261808003526983,77.41315993725264,1
214,Waste,Cancelled,3,0,0.2476222155663363,478,0,23.26120278250261,77.4103490219054,0
215,Streetlight,Completed,2,1,0.07364335417740596,319,0,23.25926946151072,77.41749150395923,0
216,Pothole,Pending,1,2,0.25636188533454163,422,1,23.261417938440985,77.41285844236396,2
217,Water Supply,Pending,4,2,0.3843374316193678,158,1,23.25835434957092,77.41281878958921,2
218,Pothole,Pending,1,2,0.18985249301247106,422,1,23.259426362786517,77.4140515332478,2
219,Waste,Pending,3,2,0.35328475033866896,478,1,23.25892927290434,77.41356201846347,1
220,Streetlight,Pending,2,2,0.5264972468228306,319,1,23.26006374827877,77.41304776804856,1
221,Waste,Pending,3,2,0.10227268724798665,478,1,23.264529317133345,77.41101905108911,1
222,Pothole,Completed,1,1,0.1602322714523012,422,0,23.256165469614817,77.41354293671426,0
223,Streetlight,Completed,2,1,0.10468017783281443,319,0,23.261272520380743,77.41636404899295,0
224,Water Supply,Pending,4,2,0.10246199343009048,158,1,23.25667456825762,77.41529084009231,2
225,Drainage,Pending,0,2,0.3354150788928986,223,1,23.25895613626842,77.41578637325328,1
226,Streetlight,Completed,2,1,0.2157087301942661,319,0,23.262077901193933,77.41157756864713,0
227,Streetlight,Pending,2,2,0.32008788350884826,319,1,23.26002856003819,77.41062079035947,1
228,Water Supply,Pending,4,2,0.2453920070600025,158,1,23.25774451044414,77.4123484261598,2
229,Waste,Pending,3,2,0.49702075605250723,478,1,23.25846939258148,77.41271144982457,1
230,Waste,Cancelled,3,0,0.22485567566347986,478,0,23.261259195497868,77.41478838303694,0
231,Waste,Completed,3,1,0.29773496086003126,478,0,23.258439266736563,77.40921507074057,0
232,Waste,Pending,3,2,0.2430885613273501,478,1,23.260332917179163,77.41565910063892,1
233,Streetlight,Completed,2,1,0.35556516813538236,319,0,23.259991143679805,77.41228398420284,0
234,Streetlight,Completed,2,1,0.32946014013321245,319,0,23.258596799304787,77.4117462378601,0
235,Streetlight,Completed,2,1,0.13734117025822254,319,0,23.26418788817865,77.41057579124947,0
236,Waste,Completed,3,1,0.2787539196385919,478,0,23.261167838044635,77.40929028665627,0
237,Streetlight,Completed,2,1,0.11448011096808969,319,0,23.255849714826685,77.41424634116792,0
238,Pothole,Pending,1,2,0.4248745597046017,422,1,23.26027290862954,77.41274663593437,2
239,Streetlight,Pending,2,2,0.26510437567319084,319,1,23.258576427070462,77.41002007820052,1
240,Streetlight,Completed,2,1,0.16995109638628816,319,0,23.26160486666959,77.41000984245586,0
241,Pothole,Completed,1,1,0.5576287215599531,422,0,23.258314958523133,77.41192843060142,1
242,Waste,Pending,3,2,0.22016539421921394,478,1,23.259670527117063,77.41593804305057,1
243,Waste,Completed,3,1,0.2529881227812657,478,0,23.26090997455796,77.41208081729727,0
244,Drainage,Cancelled,0,0,0.1581709932288238,223,0,23.261631510388337,77.40959371409376,1
245,Water Supply,Pending,4,2,0.2582603774714602,158,1,23.25749940718589,77.41210851387183,2
246,Streetlight,Completed,2,1,0.23802853929025136,319,0,23.259230997528316,77.4120545528605,0
247,Waste,Completed,3,1,0.05558341741606588,478,0,23.258950109377675,77.40720622671411,0
248,Pothole,Cancelled,1,0,0.3307256695953388,422,0,23.25859334153485,77.41249141026697,1
249,Streetlight,Cancelled,2,0,0.13286261584640774,319,0,23.26343090848056,77.41213813093958,0
250,Drainage,Completed,0,1,0.45225426743583597,223,0,23.26070996342192,77.41399241272963,1
251,Waste,Pending,3,2,0.0904839388155841,478,1,23.257378232091327,77.41629791218989,1
252,Waste,Completed,3,1,0.29415643105685024,478,0,23.26173572389411,77.41485313005909,0
253,Streetlight,Pending,2,2,0.11144879495089352,319,1,23.264144312394023,77.41206222261889,1
254,Pothole,Completed,1,1,0.2355449634029175,422,0,23.2619649305211,77.41038694818252,0
255,Waste,Cancelled,3,0,0.051887890621441564,478,0,23.25686126006809,77.4177467196065,0
256,Waste,Pending,3,2,0.9257614522924248,478,1,23.258931531854262,77.41271843686803,1
257,Pothole,Completed,1,1,0.43391055268803486,422,0,23.262433822298373,77.41262785858382,1
258,Drainage,Pending,0,2,0.3916669415392356,223,1,23.25848466106876,77.41255174982578,2
259,Water Supply,Completed,4,1,0.25422001681685047,158,0,23.26078763885629,77.41299616952153,1
260,Streetlight,Pending,2,2,0.4783422850997574,319,1,23.26144926810686,77.41231127917615,1
261,Pothole,Completed,1,1,0.3301141054898551,422,0,23.25804613905684,77.41145267598624,1
262,Waste,Cancelled,3,0,0.28665830979320744,478,0,23.259780949287876,77.41150628211751,1
263,Pothole,Cancelled,1,0,0.031090366600032372,422,0,23.25341746531986,77.41253449345956,0
264,Pothole,Pending,1,2,0.24242656193920248,422,1,23.257851224717328,77.41151315045774,2
265,Streetlight,Completed,2,1,0.2674490744803429,319,0,23.259394863697217,77.41117430843464,0
266,Pothole,Completed,1,1,0.299117001696851,422,0,23.25740443363607,77.41281286045538,1
267,Waste,Pending,3,2,0.14806312239915032,478,1,23.263164822607862,77.41209004556515,1
268,Waste,Pending,3,2,0.09016112417921679,478,1,23.257039717244076,77.41560798597716,1
269,Pothole,Pending,1,2,0.06015534358745977,422,1,23.25901991102661,77.40729806038321,1
270,Waste,Cancelled,3,0,0.4174919820694987,478,0,23.26016148115457,77.41478301370384,0
271,Waste,Completed,3,1,0.09400133356753067,478,0,23.26278254657813,77.415092170385,0
272,Water Supply,Completed,4,1,0.05468300454149994,158,0,23.25702827569764,77.40845321953518,1
273,Pothole,Pending,1,2,0.16643928600056157,422,1,23.262226327504308,77.41191462481184,2
274,Pothole,Completed,1,1,0.32665566848595484,422,0,23.259920466122036,77.411857118268,1
275,Drainage,Pending,0,2,0.14756387153583525,223,1,23.257936982697903,77.40978497661057,1
276,Water Supply,Pending,4,2,0.30207242499683706,158,1,23.260824206948524,77.41104436662482,2
277,Streetlight,Completed,2,1,0.2677200039069915,319,0,23.260298119391145,77.41037884830907,0
278,Drainage,Pending,0,2,0.3731005801127431,223,1,23.25869956624568,77.41610454088685,1
279,Pothole,Completed,1,1,0.2319755599490639,422,0,23.26003960416998,77.4144713567863,1
280,Pothole,Pending,1,2,0.16758331620946867,422,1,23.25912937280627,77.41514311018999,2
281,Pothole,Completed,1,1,0.2968716486940425,422,0,23.260127034690505,77.41404334412809,1
282,Streetlight,Completed,2,1,0.23868663566840312,319,0,23.26122426134904,77.41034189645757,0
283,Streetlight,Completed,2,1,0.13469222231458475,319,0,23.263072033632287,77.41155095946743,0
284,Pothole,Pending,1,2,0.3081910458007361,422,1,23.257424369002344,77.41357874912245,2
285,Waste,Pending,3,2,0.1124264896870636,478,1,23.26416606674931,77.41015574438221,1
286,Streetlight,Cancelled,2,0,0.12715011177222413,319,0,23.25599582440095,77.41402599686035,0
287,Waste,Pending,3,2,0.25754693510553023,478,1,23.25959642980993,77.41211934920368,1
288,Streetlight,Completed,2,1,0.308535741578042,319,0,23.26107663441297,77.4118503583849,0
289,Streetlight,Cancelled,2,0,0.4340013838204248,319,0,23.260461983735468,77.4140219199364,1
290,Streetlight,Pending,2,2,0.2261592042222349,319,1,23.25865460096036,77.41348852662297,1
291,Drainage,Pending,0,2,0.30798516718990204,223,1,23.25948375549928,77.41187806766835,2
292,Drainage,Completed,0,1,0.28187453202237095,223,0,23.25891399813068,77.41491865960673,1
293,Pothole,Cancelled,1,0,0.2720447852505911,422,0,23.25872127048611,77.4104378733448,1
294,Streetlight,Cancelled,2,0,0.17533497645447968,319,0,23.26159920419404,77.41383187121389,1
295,Streetlight,Completed,2,1,0.29797584941877314,319,0,23.26061403097193,77.41378620251594,0
296,Waste,Completed,3,1,0.37860572701585066,478,0,23.25851418080948,77.41198090712138,0
297,Waste,Pending,3,2,0.32903987586708355,478,1,23.261699199750865,77.41325226604448,1
298,Waste,Cancelled,3,0,0.2581691579750965,478,0,23.260514599041752,77.41009777284722,0
299,Pothole,Cancelled,1,0,0.24775702153619356,422,0,23.261525724237675,77.41444805403842,1
300,Streetlight,Pending,2,2,0.2403579110931929,319,1,23.261159257683847,77.4122301957271,1
301,Drainage,Pending,0,2,0.2931360507359419,223,1,23.25824200997815,77.41155455395896,2
