ID,Category,Status,Latitude,Longitude,priority_label,priority_level,risk_score
43,Waste,Completed,23.25966870343522,77.40846511579991,0,LOW,0.3333333333333333
44,Pothole,Completed,23.25929779260882,77.41242175992097,1,MEDIUM,0.6666666666666666
45,Waste,Completed,23.256942956019262,77.40999106099899,0,LOW,0.3333333333333333
46,Waste,Pending,23.25846031158321,77.41393934509766,1,MEDIUM,0.6666666666666666
47,Streetlight,Pending,23.25897872245808,77.41333319649219,1,MEDIUM,0.6666666666666666
48,Streetlight,Pending,23.26201424445244,77.41072024042734,1,MEDIUM,0.6666666666666666
49,Waste,Pending,23.260587236579138,77.41157226616532,1,MEDIUM,0.6666666666666666
50,Waste,Pending,23.25637391968927,77.41048157295621,1,MEDIUM,0.6666666666666666
51,Waste,Pending,23.260548167938783,77.41247464180545,1,MEDIUM,0.6666666666666666
52,Drainage,Pending,23.259129835439165,77.414510284641,2,HIGH,1.0
53,Water Supply,Cancelled,23.258546155999387,77.41062854790732,1,MEDIUM,0.6666666666666666
54,Waste,Completed,23.26112335257768,77.41360809303103,0,LOW,0.3333333333333333
55,Waste,Completed,23.26196199904499,77.41153948476325,0,LOW,0.3333333333333333
56,Drainage,Completed,23.261762560238232,77.41101425433547,0,LOW,0.3333333333333333
57,Water Supply,Pending,23.25822156495355,77.41238593928009,2,HIGH,1.0
58,Pothole,Completed,23.259281575248295,77.41052951535517,1,MEDIUM,0.6666666666666666
59,Waste,Pending,23.26056252686281,77.4114927013893,1,MEDIUM,0.6666666666666666
60,Waste,Completed,23.261851090254243,77.41020424421482,0,LOW,0.3333333333333333
61,Streetlight,Pending,23.258941651524307,77.41652945026583,1,MEDIUM,0.6666666666666666
62,Pothole,Cancelled,23.25952868204667,77.41267052710394,1,MEDIUM,0.6666666666666666
63,Waste,Pending,23.257687330051983,77.41120054898401,1,MEDIUM,0.6666666666666666
64,Streetlight,Pending,23.25750758675184,77.41302795982146,1,MEDIUM,0.6666666666666666
65,Waste,Cancelled,23.261525051644785,77.41237534390062,0,LOW,0.3333333333333333
66,Drainage,Pending,23.26261248005714,77.41215806080093,1,MEDIUM,0.6666666666666666
67,Pothole,Completed,23.259755979756836,77.41382833340009,1,MEDIUM,0.6666666666666666
68,Waste,Completed,23.261907065795786,77.4141150154201,0,LOW,0.3333333333333333
69,Streetlight,Completed,23.260623272050093,77.41153899770478,0,LOW,0.3333333333333333
70,Pothole,Cancelled,23.25860976049079,77.4114483635187,1,MEDIUM,0.6666666666666666
71,Water Supply,Cancelled,23.260622791211016,77.4120498966057,1,MEDIUM,0.6666666666666666
72,Pothole,Pending,23.26297607313293,77.40799615767052,1,MEDIUM,0.6666666666666666
73,Waste,Completed,23.25982834792178,77.4095696178756,0,LOW,0.3333333333333333
74,Streetlight,Completed,23.263029287311625,77.41533374853489,0,LOW,0.3333333333333333
75,Waste,Completed,23.25466050979182,77.415889935427,0,LOW,0.3333333333333333
76,Water Supply,Pending,23.26154380500875,77.41210192792089,2,HIGH,1.0
77,Pothole,Completed,23.26007409413647,77.4137531139261,1,MEDIUM,0.6666666666666666
78,Pothole,Cancelled,23.259301985299068,77.41322250030909,1,MEDIUM,0.6666666666666666
79,Waste,Cancelled,23.26008352155307,77.4187577616169,0,LOW,0.3333333333333333
80,Pothole,Completed,23.255924862170797,77.41483914982287,0,LOW,0.3333333333333333
81,Drainage,Pending,23.259460656224324,77.41234416481704,2,HIGH,1.0
82,Drainage,Pending,23.260614225143023,77.4106889191188,2,HIGH,1.0
83,Waste,Completed,23.26285578808948,77.40938710735948,0,LOW,0.3333333333333333
84,Waste,Completed,23.25886345956345,77.41300692727174,0,LOW,0.3333333333333333
85,Drainage,Pending,23.258283012794212,77.41108729850943,2,HIGH,1.0
86,Water Supply,Pending,23.258896485912828,77.4097554925808,2,HIGH,1.0
87,Waste,Pending,23.2617308042354,77.41130685423151,1,MEDIUM,0.6666666666666666
88,Pothole,Completed,23.260557502219317,77.41043690399277,1,MEDIUM,0.6666666666666666
89,Pothole,Cancelled,23.258840479592465,77.41597428327015,1,MEDIUM,0.6666666666666666
90,Drainage,Completed,23.260926534866226,77.41436327951389,1,MEDIUM,0.6666666666666666
91,Waste,Pending,23.260094155098695,77.41258405471737,1,MEDIUM,0.6666666666666666
92,Waste,Pending,23.261837289981063,77.41555988827778,1,MEDIUM,0.6666666666666666
93,Drainage,Pending,23.25849589381224,77.4127547366153,2,HIGH,1.0
94,Waste,Cancelled,23.259244675706803,77.41087743159734,0,LOW,0.3333333333333333
95,Pothole,Pending,23.259115783693733,77.41564624815453,1,MEDIUM,0.6666666666666666
96,Pothole,Completed,23.256972970103735,77.41367782008737,0,LOW,0.3333333333333333
97,Pothole,Pending,23.26049224055413,77.41052550769135,2,HIGH,1.0
98,Pothole,Completed,23.26042211054436,77.41221932264384,1,MEDIUM,0.6666666666666666
99,Pothole,Completed,23.259910226913284,77.41084876349323,1,MEDIUM,0.6666666666666666
100,Waste,Completed,23.259430825733247,77.40983440053807,0,LOW,0.3333333333333333
101,Streetlight,Pending,23.257069258515894,77.41445235509507,1,MEDIUM,0.6666666666666666
102,Drainage,Pending,23.259058709354463,77.41641883328094,1,MEDIUM,0.6666666666666666
103,Drainage,Pending,23.259214570966943,77.40980286485235,2,HIGH,1.0
104,Waste,Completed,23.258295445461556,77.41372593847338,0,LOW,0.3333333333333333
105,Waste,Pending,23.259577428576662,77.41129871486176,1,MEDIUM,0.6666666666666666
106,Waste,Pending,23.26070810171363,77.41162574923247,1,MEDIUM,0.6666666666666666
107,Pothole,Completed,23.263672371802414,77.41141521215152,0,LOW,0.3333333333333333
108,Pothole,Completed,23.26024915562566,77.41087201846064,1,MEDIUM,0.6666666666666666
109,Streetlight,Completed,23.260415100781444,77.41269704325589,0,LOW,0.3333333333333333
110,Waste,Pending,23.259751108168462,77.41093809976718,1,MEDIUM,0.6666666666666666
111,Waste,Pending,23.2560624575694,77.41314091365156,1,MEDIUM,0.6666666666666666
112,Pothole,Completed,23.2598469722491,77.4124995237811,1,MEDIUM,0.6666666666666666
113,Streetlight,Completed,23.26002046041988,77.41212210390627,0,LOW,0.3333333333333333
114,Waste,Pending,23.26482648422497,77.41078487267592,1,MEDIUM,0.6666666666666666
115,Streetlight,Completed,23.259515278070435,77.41144645733885,0,LOW,0.3333333333333333
116,Waste,Completed,23.260503094684665,77.41411078245164,0,LOW,0.3333333333333333
117,Drainage,Completed,23.259830576460587,77.41360183437524,1,MEDIUM,0.6666666666666666
118,Drainage,Pending,23.25756264392476,77.4106448895104,1,MEDIUM,0.6666666666666666
119,Waste,Pending,23.262185645629028,77.41279866461086,1,MEDIUM,0.6666666666666666
120,Waste,Pending,23.261403866065372,77.41410277424674,1,MEDIUM,0.6666666666666666
121,Pothole,Pending,23.26148206389409,77.40926118943776,1,MEDIUM,0.6666666666666666
122,Waste,Cancelled,23.258081225090407,77.41368672038476,0,LOW,0.3333333333333333
123,Streetlight,Completed,23.26270558862187,77.4112747524821,0,LOW,0.3333333333333333
124,Drainage,Completed,23.257096297874412,77.41374119733719,0,LOW,0.3333333333333333
125,Streetlight,Pending,23.2610737141876,77.41107348168691,1,MEDIUM,0.6666666666666666
126,Drainage,Completed,23.264280911251618,77.40899023579867,0,LOW,0.3333333333333333
127,Pothole,Completed,23.25791892734974,77.40934491512424,0,LOW,0.3333333333333333
128,Waste,Pending,23.25876740454079,77.41269616989332,1,MEDIUM,0.6666666666666666
129,Streetlight,Completed,23.260099302730172,77.41311944500345,0,LOW,0.3333333333333333
130,Pothole,Pending,23.258893048691768,77.41079136674979,2,HIGH,1.0
131,Streetlight,Completed,23.256798673137865,77.41387718491755,0,LOW,0.3333333333333333
132,Waste,Pending,23.26003712594961,77.40927695987546,1,MEDIUM,0.6666666666666666
133,Waste,Pending,23.257775392572547,77.4124678404027,1,MEDIUM,0.6666666666666666
134,Water Supply,Pending,23.26084718486127,77.41017796760048,2,HIGH,1.0
135,Waste,Pending,23.258061151531532,77.4112963277844,1,MEDIUM,0.6666666666666666
136,Water Supply,Pending,23.26299986881003,77.41269479734262,2,HIGH,1.0
137,Water Supply,Completed,23.258333493415325,77.41087917326944,1,MEDIUM,0.6666666666666666
138,Drainage,Completed,23.259255876967583,77.41183088891154,1,MEDIUM,0.6666666666666666
139,Streetlight,Pending,23.26152703443474,77.41461258561843,1,MEDIUM,0.6666666666666666
140,Streetlight,Pending,23.257438271367132,77.41144621626096,1,MEDIUM,0.6666666666666666
141,Drainage,Pending,23.260354919869208,77.41427138422412,2,HIGH,1.0
142,Waste,Completed,23.26251428550856,77.41034058629069,0,LOW,0.3333333333333333
143,Pothole,Pending,23.256685033530875,77.41365960835583,1,MEDIUM,0.6666666666666666
144,Streetlight,Pending,23.260269267717064,77.41548313724131,1,MEDIUM,0.6666666666666666
145,Pothole,Completed,23.260419765588495,77.40765671099975,0,LOW,0.3333333333333333
146,Pothole,Pending,23.261463645743554,77.41100620948906,2,HIGH,1.0
147,Pothole,Pending,23.257426098578243,77.41375414425436,2,HIGH,1.0
148,Streetlight,Completed,23.25725908677383,77.41219390922791,0,LOW,0.3333333333333333
149,Drainage,Completed,23.260943883131233,77.41334229174674,1,MEDIUM,0.6666666666666666
150,Waste,Pending,23.260493969346463,77.41139202962657,1,MEDIUM,0.6666666666666666
151,Water Supply,Completed,23.26040098570069,77.41277317957494,1,MEDIUM,0.6666666666666666
152,Streetlight,Completed,23.26059289641899,77.41228864552922,0,LOW,0.3333333333333333
153,Drainage,Pending,23.25853995055684,77.41493556412331,2,HIGH,1.0
154,Streetlight,Pending,23.26036450739432,77.4131088416866,1,MEDIUM,0.6666666666666666
155,Drainage,Pending,23.260486144946597,77.41327520532415,2,HIGH,1.0
156,Waste,Pending,23.258471297163947,77.41177624606776,1,MEDIUM,0.6666666666666666
157,Drainage,Completed,23.26363154902229,77.41162478755186,0,LOW,0.3333333333333333
158,Waste,Completed,23.260847665841823,77.41173488362436,0,LOW,0.3333333333333333
159,Drainage,Cancelled,23.257517393005593,77.41338890428476,1,MEDIUM,0.6666666666666666
160,Water Supply,Completed,23.261213107217262,77.41175803103836,1,MEDIUM,0.6666666666666666
161,Waste,Pending,23.257950636659544,77.41317954971379,1,MEDIUM,0.6666666666666666
162,Waste,Pending,23.26147416920748,77.41675080159729,1,MEDIUM,0.6666666666666666
163,Drainage,Completed,23.262217191158012,77.41434224940686,0,LOW,0.3333333333333333
164,Waste,Pending,23.258258635363298,77.41194795293566,1,MEDIUM,0.6666666666666666
165,Drainage,Completed,23.26182675225849,77.41500242784433,0,LOW,0.3333333333333333
166,Waste,Completed,23.26072556185387,77.41178384925395,0,LOW,0.3333333333333333
167,Waste,Completed,23.261544120319986,77.40852375092965,0,LOW,0.3333333333333333
168,Water Supply,Completed,23.263693585965303,77.41058382737816,1,MEDIUM,0.6666666666666666
169,Streetlight,Pending,23.259409223767992,77.40885841615794,1,MEDIUM,0.6666666666666666
170,Drainage,Completed,23.258392527671283,77.41189697303192,1,MEDIUM,0.6666666666666666
171,Pothole,Completed,23.258120971140748,77.41263683675838,1,MEDIUM,0.6666666666666666
172,Streetlight,Pending,23.258268379430067,77.41595287462455,1,MEDIUM,0.6666666666666666
173,Streetlight,Completed,23.25974579658117,77.41325385474752,0,LOW,0.3333333333333333
174,Streetlight,Pending,23.260582303949633,77.41216179894238,1,MEDIUM,0.6666666666666666
175,Streetlight,Cancelled,23.26045338159866,77.41425881116237,1,MEDIUM,0.6666666666666666
176,Streetlight,Pending,23.26155436649807,77.40817772938198,1,MEDIUM,0.6666666666666666
177,Pothole,Completed,23.25992600378375,77.41307122911621,1,MEDIUM,0.6666666666666666
178,Waste,Pending,23.262807068154313,77.41414173038777,1,MEDIUM,0.6666666666666666
179,Drainage,Completed,23.25937068633352,77.40964282750843,0,LOW,0.3333333333333333
180,Waste,Pending,23.26534033833318,77.41488750808641,0,LOW,0.3333333333333333
181,Streetlight,Pending,23.26115133469553,77.41327699281499,1,MEDIUM,0.6666666666666666
182,Waste,Pending,23.258185684887167,77.41176942417219,1,MEDIUM,0.6666666666666666
183,Streetlight,Cancelled,23.257758215003875,77.41386556373222,0,LOW,0.3333333333333333
184,Streetlight,Pending,23.260864944830484,77.41714138571561,1,MEDIUM,0.6666666666666666
185,Waste,Pending,23.259453074429345,77.41296373251012,1,MEDIUM,0.6666666666666666
186,Waste,Completed,23.261328000988183,77.4130964411726,0,LOW,0.3333333333333333
187,Waste,Pending,23.260846475249146,77.41168127820092,1,MEDIUM,0.6666666666666666
188,Streetlight,Cancelled,23.259754342174684,77.41090031126107,1,MEDIUM,0.6666666666666666
189,Drainage,Pending,23.25820641256386,77.41426067163309,2,HIGH,1.0
190,Waste,Completed,23.256870305550628,77.41088783234818,0,LOW,0.3333333333333333
191,Streetlight,Pending,23.259006970095864,77.41274313247443,1,MEDIUM,0.6666666666666666
192,Pothole,Pending,23.261612797588644,77.41164468510647,2,HIGH,1.0
193,Pothole,Completed,23.26032818748826,77.41355795965148,1,MEDIUM,0.6666666666666666
194,Water Supply,Completed,23.257408522442574,77.41326732421057,1,MEDIUM,0.6666666666666666
195,Pothole,Completed,23.2602463618517,77.41467507988851,1,MEDIUM,0.6666666666666666
196,Pothole,Pending,23.260670634759457,77.41157996720229,2,HIGH,1.0
197,Waste,Pending,23.25813228512759,77.41206025012941,1,MEDIUM,0.6666666666666666
198,Waste,Pending,23.26020745021189,77.41064247256843,1,MEDIUM,0.6666666666666666
199,Waste,Cancelled,23.26001641743689,77.41171141347985,1,MEDIUM,0.6666666666666666
200,Waste,Pending,23.257614059404336,77.41335460098608,1,MEDIUM,0.6666666666666666
201,Streetlight,Pending,23.260615574720696,77.41411397723328,1,MEDIUM,0.6666666666666666
202,Pothole,Pending,23.261021569052733,77.41075566935164,2,HIGH,1.0
203,Pothole,Completed,23.262066102486347,77.41433921184021,0,LOW,0.3333333333333333
204,Waste,Pending,23.262007604104067,77.41531127571761,1,MEDIUM,0.6666666666666666
205,Waste,Cancelled,23.25714466126409,77.41342686980644,0,LOW,0.3333333333333333
206,Streetlight,Pending,23.258024349920166,77.41635359162511,1,MEDIUM,0.6666666666666666
207,Water Supply,Completed,23.260930070534418,77.4110524216018,1,MEDIUM,0.6666666666666666
208,Waste,Pending,23.260927571901824,77.41011069059337,1,MEDIUM,0.6666666666666666
209,Drainage,Completed,23.26093009537261,77.40904255950218,0,LOW,0.3333333333333333
210,Streetlight,Cancelled,23.267605462981308,77.41559208862297,0,LOW,0.3333333333333333
211,Streetlight,Pending,23.261041781021383,77.4139087313127,1,MEDIUM,0.6666666666666666
212,Pothole,Cancelled,23.26217113128036,77.41248883065818,1,MEDIUM,0.6666666666666666
213,Waste,Pending,23.261808003526983,77.41315993725264,1,MEDIUM,0.6666666666666666
214,Waste,Cancelled,23.26120278250261,77.4103490219054,0,LOW,0.3333333333333333
215,Streetlight,Completed,23.25926946151072,77.41749150395923,0,LOW,0.3333333333333333
216,Pothole,Pending,23.261417938440985,77.41285844236396,2,HIGH,1.0
217,Water Supply,Pending,23.25835434957092,77.41281878958921,2,HIGH,1.0
218,Pothole,Pending,23.259426362786517,77.4140515332478,2,HIGH,1.0
219,Waste,Pending,23.25892927290434,77.41356201846347,1,MEDIUM,0.6666666666666666
220,Streetlight,Pending,23.26006374827877,77.41304776804856,1,MEDIUM,0.6666666666666666
221,Waste,Pending,23.264529317133345,77.41101905108911,1,MEDIUM,0.6666666666666666
222,Pothole,Completed,23.256165469614817,77.41354293671426,0,LOW,0.3333333333333333
223,Streetlight,Completed,23.261272520380743,77.41636404899295,0,LOW,0.3333333333333333
224,Water Supply,Pending,23.25667456825762,77.41529084009231,2,HIGH,1.0
225,Drainage,Pending,23.25895613626842,77.41578637325328,1,MEDIUM,0.6666666666666666
226,Streetlight,Completed,23.262077901193933,77.41157756864713,0,LOW,0.3333333333333333
227,Streetlight,Pending,23.26002856003819,77.41062079035947,1,MEDIUM,0.6666666666666666
228,Water Supply,Pending,23.25774451044414,77.4123484261598,2,HIGH,1.0
229,Waste,Pending,23.25846939258148,77.41271144982457,1,MEDIUM,0.6666666666666666
230,Waste,Cancelled,23.261259195497868,77.41478838303694,0,LOW,0.3333333333333333
231,Waste,Completed,23.258439266736563,77.40921507074057,0,LOW,0.3333333333333333
232,Waste,Pending,23.260332917179163,77.41565910063892,1,MEDIUM,0.6666666666666666
233,Streetlight,Completed,23.259991143679805,77.41228398420284,0,LOW,0.3333333333333333
234,Streetlight,Completed,23.258596799304787,77.4117462378601,0,LOW,0.3333333333333333
235,Streetlight,Completed,23.26418788817865,77.41057579124947,0,LOW,0.3333333333333333
236,Waste,Completed,23.261167838044635,77.40929028665627,0,LOW,0.3333333333333333
237,Streetlight,Completed,23.255849714826685,77.41424634116792,0,LOW,0.3333333333333333
238,Pothole,Pending,23.26027290862954,77.41274663593437,2,HIGH,1.0
239,Streetlight,Pending,23.258576427070462,77.41002007820052,1,MEDIUM,0.6666666666666666
240,Streetlight,Completed,23.26160486666959,77.41000984245586,0,LOW,0.3333333333333333
241,Pothole,Completed,23.258314958523133,77.41192843060142,1,MEDIUM,0.6666666666666666
242,Waste,Pending,23.259670527117063,77.41593804305057,1,MEDIUM,0.6666666666666666
243,Waste,Completed,23.26090997455796,77.41208081729727,0,LOW,0.3333333333333333
244,Drainage,Cancelled,23.261631510388337,77.40959371409376,1,MEDIUM,0.6666666666666666
245,Water Supply,Pending,23.25749940718589,77.41210851387183,2,HIGH,1.0
246,Streetlight,Completed,23.259230997528316,77.4120545528605,0,LOW,0.3333333333333333
247,Waste,Completed,23.258950109377675,77.40720622671411,0,LOW,0.3333333333333333
248,Pothole,Cancelled,23.25859334153485,77.41249141026697,1,MEDIUM,0.6666666666666666
249,Streetlight,Cancelled,23.26343090848056,77.41213813093958,0,LOW,0.3333333333333333
250,Drainage,Completed,23.26070996342192,77.41399241272963,1,MEDIUM,0.6666666666666666
251,Waste,Pending,23.257378232091327,77.41629791218989,1,MEDIUM,0.6666666666666666
252,Waste,Completed,23.26173572389411,77.41485313005909,0,LOW,0.3333333333333333
253,Streetlight,Pending,23.264144312394023,77.41206222261889,1,MEDIUM,0.6666666666666666
254,Pothole,Completed,23.2619649305211,77.41038694818252,0,LOW,0.3333333333333333
255,Waste,Cancelled,23.25686126006809,77.4177467196065,0,LOW,0.3333333333333333
256,Waste,Pending,23.258931531854262,77.41271843686803,1,MEDIUM,0.6666666666666666
257,Pothole,Completed,23.262433822298373,77.41262785858382,1,MEDIUM,0.6666666666666666
258,Drainage,Pending,23.25848466106876,77.41255174982578,2,HIGH,1.0
259,Water Supply,Completed,23.26078763885629,77.41299616952153,1,MEDIUM,0.6666666666666666
260,Streetlight,Pending,23.26144926810686,77.41231127917615,1,MEDIUM,0.6666666666666666
261,Pothole,Completed,23.25804613905684,77.41145267598624,1,MEDIUM,0.6666666666666666
262,Waste,Cancelled,23.259780949287876,77.41150628211751,1,MEDIUM,0.6666666666666666
263,Pothole,Cancelled,23.25341746531986,77.41253449345956,0,LOW,0.3333333333333333
264,Pothole,Pending,23.257851224717328,77.41151315045774,2,HIGH,1.0
265,Streetlight,Completed,23.259394863697217,77.41117430843464,0,LOW,0.3333333333333333
266,Pothole,Completed,23.25740443363607,77.41281286045538,1,MEDIUM,0.6666666666666666
267,Waste,Pending,23.263164822607862,77.41209004556515,1,MEDIUM,0.6666666666666666
268,Waste,Pending,23.257039717244076,77.41560798597716,1,MEDIUM,0.6666666666666666
269,Pothole,Pending,23.25901991102661,77.40729806038321,1,MEDIUM,0.6666666666666666
270,Waste,Cancelled,23.26016148115457,77.41478301370384,0,LOW,0.3333333333333333
271,Waste,Completed,23.26278254657813,77.415092170385,0,LOW,0.3333333333333333
272,Water Supply,Completed,23.25702827569764,77.40845321953518,1,MEDIUM,0.6666666666666666
273,Pothole,Pending,23.262226327504308,77.41191462481184,2,HIGH,1.0
274,Pothole,Completed,23.259920466122036,77.411857118268,1,MEDIUM,0.6666666666666666
275,Drainage,Pending,23.257936982697903,77.40978497661057,1,MEDIUM,0.6666666666666666
276,Water Supply,Pending,23.260824206948524,77.41104436662482,2,HIGH,1.0
277,Streetlight,Completed,23.260298119391145,77.41037884830907,0,LOW,0.3333333333333333
278,Drainage,Pending,23.25869956624568,77.41610454088685,1,MEDIUM,0.6666666666666666
279,Pothole,Completed,23.26003960416998,77.4144713567863,1,MEDIUM,0.6666666666666666
280,Pothole,Pending,23.25912937280627,77.41514311018999,2,HIGH,1.0
281,Pothole,Completed,23.260127034690505,77.41404334412809,1,MEDIUM,0.6666666666666666
282,Streetlight,Completed,23.26122426134904,77.41034189645757,0,LOW,0.3333333333333333
283,Streetlight,Completed,23.263072033632287,77.41155095946743,0,LOW,0.3333333333333333
284,Pothole,Pending,23.257424369002344,77.41357874912245,2,HIGH,1.0
285,Waste,Pending,23.26416606674931,77.41015574438221,1,MEDIUM,0.6666666666666666
286,Streetlight,Cancelled,23.25599582440095,77.41402599686035,0,LOW,0.3333333333333333
287,Waste,Pending,23.25959642980993,77.41211934920368,1,MEDIUM,0.6666666666666666
288,Streetlight,Completed,23.26107663441297,77.4118503583849,0,LOW,0.3333333333333333
289,Streetlight,Cancelled,23.260461983735468,77.4140219199364,1,MEDIUM,0.6666666666666666
290,Streetlight,Pending,23.25865460096036,77.41348852662297,1,MEDIUM,0.6666666666666666
291,Drainage,Pending,23.25948375549928,77.41187806766835,2,HIGH,1.0
292,Drainage,Completed,23.25891399813068,77.41491865960673,1,MEDIUM,0.6666666666666666
293,Pothole,Cancelled,23.25872127048611,77.4104378733448,1,MEDIUM,0.6666666666666666
294,Streetlight,Cancelled,23.26159920419404,77.41383187121389,1,MEDIUM,0.6666666666666666
295,Streetlight,Completed,23.26061403097193,77.41378620251594,0,LOW,0.3333333333333333
296,Waste,Completed,23.25851418080948,77.41198090712138,0,LOW,0.3333333333333333
297,Waste,Pending,23.261699199750865,77.41325226604448,1,MEDIUM,0.6666666666666666
298,Waste,Cancelled,23.260514599041752,77.41009777284722,0,LOW,0.3333333333333333
299,Pothole,Cancelled,23.261525724237675,77.41444805403842,1,MEDIUM,0.6666666666666666
300,Streetlight,Pending,23.261159257683847,77.4122301957271,1,MEDIUM,0.6666666666666666
301,Drainage,Pending,23.25824200997815,77.41155455395896,2,HIGH,1.0
302,Waste,Pending,23.25877963791961,77.41469801845167,1,MEDIUM,0.6666666666666666
303,Waste,Pending,23.261394587210244,77.41119131261891,1,MEDIUM,0.6666666666666666
304,Water Supply,Completed,23.261120740530867,77.40978307740727,1,MEDIUM,0.6666666666666666
305,Waste,Pending,23.25985819681207,77.40948674165296,1,MEDIUM,0.6666666666666666
306,Pothole,Pending,23.260134654766617,77.4138120199027,2,HIGH,1.0
307,Streetlight,Pending,23.262455329791575,77.410039141295,1,MEDIUM,0.6666666666666666
308,Pothole,Cancelled,23.258716857222325,77.41610958836397,1,MEDIUM,0.6666666666666666
309,Waste,Completed,23.26099419476234,77.40843614118423,0,LOW,0.3333333333333333
310,Waste,Pending,23.25949561469513,77.41599291273658,1,MEDIUM,0.6666666666666666
311,Waste,Pending,23.259464637593545,77.4130220349344,1,MEDIUM,0.6666666666666666
312,Streetlight,Cancelled,23.262097553703978,77.41240657377625,1,MEDIUM,0.6666666666666666
313,Pothole,Completed,23.261550832697974,77.41151016182639,1,MEDIUM,0.6666666666666666
314,Waste,Pending,23.261527019272,77.4133982722287,1,MEDIUM,0.6666666666666666
315,Streetlight,Pending,23.262510957614307,77.41252473059515,1,MEDIUM,0.6666666666666666
316,Drainage,Pending,23.259942007683264,77.41480660376403,2,HIGH,1.0
317,Waste,Pending,23.261263905942588,77.41282845529732,1,MEDIUM,0.6666666666666666
318,Pothole,Completed,23.259279466486813,77.41290060352293,1,MEDIUM,0.6666666666666666
319,Streetlight,Cancelled,23.260548332704975,77.41187277557557,1,MEDIUM,0.6666666666666666
320,Waste,Pending,23.259639713891264,77.41248610875256,1,MEDIUM,0.6666666666666666
321,Pothole,Completed,23.260093991929985,77.41321560353778,1,MEDIUM,0.6666666666666666
322,Streetlight,Completed,23.261090314050872,77.40917966321469,0,LOW,0.3333333333333333
